| 2025-12-12 09:00:01 | Bitcoin price: $ 92127.82 | 24H Low: $ 89335.30 | 24H High: 93554.27 |
| 2025-12-12 09:01:02 | Ethereum price: $ 3212.14 | 24H Low: $ 3149.03 | 24H High: 3279.59 |
| 2025-12-12 09:02:01 | Binance Coin price: $ 884.84 | 24H Low: $ 861.25 | 24H High: 890.10 |
| 2025-12-12 09:03:02 | Solana price: $ 136.22 | 24H Low: $ 129.38 | 24H High: 137.68 |
| 2025-12-12 09:04:01 | Bitcoin-Cash price: $ 570.60 | 24H Low: $ 552.44 | 24H High: 578.18 |
| 2025-12-12 10:00:02 | Bitcoin price: $ 92197.84 | 24H Low: $ 89335.30 | 24H High: 93554.27 |
| 2025-12-12 10:01:06 | Ethereum price: $ 3232.59 | 24H Low: $ 3149.03 | 24H High: 3272.19 |
| 2025-12-12 10:02:02 | Binance Coin price: $ 887.22 | 24H Low: $ 861.25 | 24H High: 890.10 |
| 2025-12-12 10:03:01 | Solana price: $ 136.72 | 24H Low: $ 129.38 | 24H High: 137.68 |
| 2025-12-12 10:04:02 | Bitcoin-Cash price: $ 576.10 | 24H Low: $ 552.44 | 24H High: 578.18 |
| 2025-12-12 11:00:01 | Bitcoin price: $ 92726.83 | 24H Low: $ 89335.30 | 24H High: 93554.27 |
| 2025-12-12 11:01:27 | Ethereum price: $ 3261.13 | 24H Low: $ 3149.03 | 24H High: 3272.19 |
| 2025-12-12 11:02:02 | Binance Coin price: $ 891.45 | 24H Low: $ 861.25 | 24H High: 891.25 |
| 2025-12-12 11:03:01 | Solana price: $ 137.30 | 24H Low: $ 129.38 | 24H High: 137.73 |
| 2025-12-12 11:04:02 | Bitcoin-Cash price: $ 583.46 | 24H Low: $ 552.44 | 24H High: 583.58 |
| 2025-12-12 12:02:49 | Binance Coin price: $ 892.43 | 24H Low: $ 861.25 | 24H High: 895.47 |
| 2025-12-12 12:03:01 | Solana price: $ 137.20 | 24H Low: $ 129.38 | 24H High: 137.73 |
| 2025-12-12 12:04:13 | Bitcoin-Cash price: $ 580.94 | 24H Low: $ 554.35 | 24H High: 583.72 |
Failed to fetch website. Please check if the network or the website is down.
Failed to fetch website. Please check if the network or the website is down.
Failed to fetch website. Please check if the network or the website is down.
Failed to fetch website. Please check if the network or the website is down.
Failed to fetch website. Please check if the network or the website is down.
| 2025-12-12 14:00:06 | Bitcoin price: $ 92427.52 | 24H Low: $ 89335.30 | 24H High: 93554.27 |
| 2025-12-12 14:01:02 | Ethereum price: $ 3246.59 | 24H Low: $ 3149.03 | 24H High: 3272.19 |
| 2025-12-12 14:02:05 | Binance Coin price: $ 890.96 | 24H Low: $ 861.25 | 24H High: 895.47 |
| 2025-12-12 14:03:02 | Solana price: $ 138.38 | 24H Low: $ 130.26 | 24H High: 138.39 |
| 2025-12-12 14:04:04 | Bitcoin-Cash price: $ 579.95 | 24H Low: $ 558.04 | 24H High: 583.72 |
| 2025-12-12 15:00:30 | Bitcoin price: $ 92526.38 | 24H Low: $ 89335.30 | 24H High: 93554.27 |
